"SOURCE MAPPING  —  Every source question mapped to its Impactree Indicator  |  Filter by Standard, Module, or Indicator ID",,,,,,
Impactree ID,Module,Indicator,Source Standard,Source Question ID,Source Question Text,Source Section / Module
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-1,Corporate Identity Number (CIN) of the Listed Entity,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-1,Permanent (D),Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-1,Permanent (D),Section A: General Disclosures
IMP-M02-I01,Sustainability Management & Reporting,Sustainability Policies & Commitments,BRSR,BRSR-1,a. Whether your entity’s policy/policies,Section B: Management & Process Disclosures
IMP-M17-I01,Training & Skill Development,ESG & Ethics Training,BRSR,BRSR-1,Percentage coverage by training and awareness programmes on any of the Principles,Section C: Principle-wise Performance > Principle 1
IMP-M17-I01,Training & Skill Development,ESG & Ethics Training,BRSR,BRSR-1,Awareness programmes conducted for value chain partners on any of the Principles,Section C: Principle-wise Performance > Principle 1
IMP-M20-I03,Economic Performance,R&D & Capex in Sustainable Technologies,BRSR,BRSR-1,Percentage of R&D and capital expenditure (capex) investments in specific technologies,Section C: Principle-wise Performance > Principle 2
IMP-M20-I03,Economic Performance,R&D & Capex in Sustainable Technologies,BRSR,BRSR-1,Has the entity conducted Life Cycle Perspective / Assessments (LCA) for any of its,Section C: Principle-wise Performance > Principle 2
IMP-M14-I04,Labor & Human Rights,Employee Benefits & Well-being,BRSR,BRSR-1,a. Details of measures for the well-being of employees:,Section C: Principle-wise Performance > Principle 3
IMP-M14-I04,Labor & Human Rights,Employee Benefits & Well-being,BRSR,BRSR-1,Does the entity extend any life insurance or any compensatory package in the event of,Section C: Principle-wise Performance > Principle 3
IMP-M01-I06,General & Organizational Profile,Stakeholder Identification & Engagement,BRSR,BRSR-1,Describe the processes for identifying key stakeholder groups of the entity.,Section C: Principle-wise Performance > Principle 4
IMP-M01-I06,General & Organizational Profile,Stakeholder Identification & Engagement,BRSR,BRSR-1,Provide the processes for consultation between stakeholders and the Board on,Section C: Principle-wise Performance > Principle 4
IMP-M14-I09,Labor & Human Rights,Human Rights Training & Awareness,BRSR,BRSR-1,Employees and workers who have been provided training on human rights issues and,Section C: Principle-wise Performance > Principle 5
IMP-M14-I09,Labor & Human Rights,Human Rights Training & Awareness,BRSR,BRSR-1,Details of a business process being modified / introduced as a result of addressing,Section C: Principle-wise Performance > Principle 5
IMP-M06-I01,Energy,Total Energy Consumption,BRSR,BRSR-1,"Details of total energy consumption (in Joules or multiples) and energy intensity, in the",Section C: Principle-wise Performance > Principle 6
IMP-M06-I01,Energy,Total Energy Consumption,BRSR,BRSR-1,Provide break-up of the total energy consumed (in Joules or multiples) from renewable,Section C: Principle-wise Performance > Principle 6
IMP-M03-I07,Governance & Ethics,Public Policy Advocacy,BRSR,BRSR-1,a. Number of affiliations with trade and industry chambers/ associations.,Section C: Principle-wise Performance > Principle 7
IMP-M03-I07,Governance & Ethics,Public Policy Advocacy,BRSR,BRSR-1,Details of public policy positions advocated by the entity:,Section C: Principle-wise Performance > Principle 7
IMP-M18-I01,Community & Social Impact,Social Impact Assessments,BRSR,BRSR-1,Details of Social Impact Assessments (SIA) of projects undertaken by the entity based,Section C: Principle-wise Performance > Principle 8
IMP-M18-I01,Community & Social Impact,Social Impact Assessments,BRSR,BRSR-1,Provide details of actions taken to mitigate any negative social impacts identified in the,Section C: Principle-wise Performance > Principle 8
IMP-M19-I05,Customer & Product Responsibility,Consumer Complaints Management,BRSR,BRSR-1,Describe the mechanisms in place to receive and respond to consumer complaints and,Section C: Principle-wise Performance > Principle 9
IMP-M19-I05,Customer & Product Responsibility,Consumer Complaints Management,BRSR,BRSR-1,Channels / platforms where information on products and services of the entity can be,Section C: Principle-wise Performance > Principle 9
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-10,Name of the Stock Exchange(s) where shares are listed,Section A: General Disclosures
IMP-M02-I02,Sustainability Management & Reporting,"Goals, Targets & Performance Tracking",BRSR,BRSR-10,Details of Review of NGRBCs by the Company:,Section B: Management & Process Disclosures
IMP-M15-I01,Occupational Health & Safety,OHS Management System,BRSR,BRSR-10,Health and safety management system:,Section C: Principle-wise Performance > Principle 3
IMP-M14-I10,Labor & Human Rights,Human Rights Due Diligence,BRSR,BRSR-10,Provide details of any corrective actions taken or underway to address significant risks /,Section C: Principle-wise Performance > Principle 5
IMP-M10-I02,Biodiversity & Land Use,Operations in or near Sensitive Areas,BRSR,BRSR-10,If the entity has operations/offices in/around ecologically sensitive areas (such as national,Section C: Principle-wise Performance > Principle 6
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-11,Paid-up Capital,Section A: General Disclosures
IMP-M02-I05,Sustainability Management & Reporting,Third-Party Assurance & External Audits,BRSR,BRSR-11,Has the entity carried out independent P P P P P P P P P,Section B: Management & Process Disclosures
IMP-M15-I04,Occupational Health & Safety,Safety Incidents & Lost Time Injuries,BRSR,BRSR-11,"Details of safety related incidents, in the following format:",Section C: Principle-wise Performance > Principle 3
IMP-M21-I02,Legal & Environmental Compliance,Environmental Impact Assessments,BRSR,BRSR-11,Details of environmental impact assessments of projects undertaken by the entity based,Section C: Principle-wise Performance > Principle 6
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-12,"Name and contact details (telephone, email address) of the person who may be",Section A: General Disclosures
IMP-M02-I01,Sustainability Management & Reporting,Sustainability Policies & Commitments,BRSR,BRSR-12,"If answer to question (1) above is “No” i.e. not all Principles are covered by a policy,",Section B: Management & Process Disclosures
IMP-M15-I01,Occupational Health & Safety,OHS Management System,BRSR,BRSR-12,Describe the measures taken by the entity to ensure a safe and healthy work place.,Section C: Principle-wise Performance > Principle 3
IMP-M21-I01,Legal & Environmental Compliance,Environmental Law Compliance,BRSR,BRSR-12,Is the entity compliant with the applicable environmental law/ regulations/ guidelines in,Section C: Principle-wise Performance > Principle 6
IMP-M01-I04,General & Organizational Profile,Reporting Scope & Boundary,BRSR,BRSR-13,Reporting boundary - Are the disclosures under this report made on a standalone basis,Section A: General Disclosures
IMP-M03-I08,Governance & Ethics,Grievance & Whistleblower Mechanisms,BRSR,BRSR-13,Number of Complaints on the following made by employees and workers:,Section C: Principle-wise Performance > Principle 3
IMP-M01-I02,General & Organizational Profile,Business Activities & Products,BRSR,BRSR-14,Details of business activities (accounting for 90% of the turnover):,Section A: General Disclosures
IMP-M15-I09,Occupational Health & Safety,OHS Assessments & Audits,BRSR,BRSR-14,Assessments for the year:,Section C: Principle-wise Performance > Principle 3
IMP-M01-I02,General & Organizational Profile,Business Activities & Products,BRSR,BRSR-15,Products/Services sold by the entity (accounting for 90% of the entity’s Turnover):,Section A: General Disclosures
IMP-M15-I09,Occupational Health & Safety,OHS Assessments & Audits,BRSR,BRSR-15,Provide details of any corrective action taken or underway to address safety-related,Section C: Principle-wise Performance > Principle 3
IMP-M01-I03,General & Organizational Profile,Operational Footprint,BRSR,BRSR-16,Number of locations where plants and/or operations/offices of the entity are situated:,Section A: General Disclosures
IMP-M01-I03,General & Organizational Profile,Operational Footprint,BRSR,BRSR-17,Markets served by the entity:,Section A: General Disclosures
IMP-M14-I01,Labor & Human Rights,Employment & Workforce Data,BRSR,BRSR-18,Details as at the end of Financial Year:,Section A: General Disclosures
IMP-M16-I01,"Diversity, Equity & Inclusion",Gender Diversity in Leadership,BRSR,BRSR-19,Participation/Inclusion/Representation of women,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-2,Name of the Listed Entity,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-2,Other than,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-2,Other than,Section A: General Disclosures
IMP-M02-I01,Sustainability Management & Reporting,Sustainability Policies & Commitments,BRSR,BRSR-2,Whether the entity has translated the,Section B: Management & Process Disclosures
IMP-M03-I09,Governance & Ethics,Regulatory Penalties & Legal Actions,BRSR,BRSR-2,Details of fines / penalties /punishment/ award/ compounding fees/ settlement amount,Section C: Principle-wise Performance > Principle 1
IMP-M03-I09,Governance & Ethics,Regulatory Penalties & Legal Actions,BRSR,BRSR-2,Does the entity have processes in place to avoid/ manage conflict of interests involving,Section C: Principle-wise Performance > Principle 1
IMP-M13-I01,Supply Chain & Procurement,Sustainable Sourcing Policy & Process,BRSR,BRSR-2,a. Does the entity have procedures in place for sustainable sourcing? (Yes/No),Section C: Principle-wise Performance > Principle 2
IMP-M13-I01,Supply Chain & Procurement,Sustainable Sourcing Policy & Process,BRSR,BRSR-2,If there are any significant social or environmental concerns and/or risks arising from,Section C: Principle-wise Performance > Principle 2
IMP-M14-I04,Labor & Human Rights,Employee Benefits & Well-being,BRSR,BRSR-2,"Details of retirement benefits, for Current FY and Previous Financial Year.",Section C: Principle-wise Performance > Principle 3
IMP-M14-I04,Labor & Human Rights,Employee Benefits & Well-being,BRSR,BRSR-2,Provide the measures undertaken by the entity to ensure that statutory dues have been,Section C: Principle-wise Performance > Principle 3
IMP-M01-I06,General & Organizational Profile,Stakeholder Identification & Engagement,BRSR,BRSR-2,List stakeholder groups identified as key for your entity and the frequency of,Section C: Principle-wise Performance > Principle 4
IMP-M01-I06,General & Organizational Profile,Stakeholder Identification & Engagement,BRSR,BRSR-2,Whether stakeholder consultation is used to support the identification and,Section C: Principle-wise Performance > Principle 4
IMP-M14-I03,Labor & Human Rights,Wages & Minimum Wage Compliance,BRSR,BRSR-2,"Details of minimum wages paid to employees and workers, in the following format:",Section C: Principle-wise Performance > Principle 5
IMP-M14-I03,Labor & Human Rights,Wages & Minimum Wage Compliance,BRSR,BRSR-2,Details of the scope and coverage of any Human rights due-diligence conducted.,Section C: Principle-wise Performance > Principle 5
IMP-M06-I06,Energy,Energy Reduction Targets & Performance,BRSR,BRSR-2,Does the entity have any sites / facilities identified as designated consumers (DCs) under,Section C: Principle-wise Performance > Principle 6
IMP-M06-I06,Energy,Energy Reduction Targets & Performance,BRSR,BRSR-2,Provide the following details related to water discharged:,Section C: Principle-wise Performance > Principle 6
IMP-M03-I05,Governance & Ethics,Anti-Competitive Behaviour,BRSR,BRSR-2,Provide details of corrective action taken or underway on any issues related to anti-,Section C: Principle-wise Performance > Principle 7
IMP-M18-I02,Community & Social Impact,Rehabilitation & Resettlement,BRSR,BRSR-2,Provide information on project(s) for which ongoing Rehabilitation and Resettlement,Section C: Principle-wise Performance > Principle 8
IMP-M18-I02,Community & Social Impact,Rehabilitation & Resettlement,BRSR,BRSR-2,Provide the following information on CSR projects undertaken by your entity in,Section C: Principle-wise Performance > Principle 8
IMP-M19-I02,Customer & Product Responsibility,Product Labeling & Information Requirements,BRSR,BRSR-2,Turnover of products and/ services as a percentage of turnover from all products/service,Section C: Principle-wise Performance > Principle 9
IMP-M19-I02,Customer & Product Responsibility,Product Labeling & Information Requirements,BRSR,BRSR-2,Steps taken to inform and educate consumers about safe and responsible usage of,Section C: Principle-wise Performance > Principle 9
IMP-M14-I02,Labor & Human Rights,Employee Turnover & Retention,BRSR,BRSR-20,Turnover rate for permanent employees and workers,Section A: General Disclosures
IMP-M01-I05,General & Organizational Profile,Subsidiaries & Joint Ventures,BRSR,BRSR-21,(a) Names of holding / subsidiary / associate companies / joint ventures,Section A: General Disclosures
IMP-M18-I04,Community & Social Impact,CSR Expenditure & Projects,BRSR,BRSR-22,"(i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No)",Section A: General Disclosures
IMP-M03-I08,Governance & Ethics,Grievance & Whistleblower Mechanisms,BRSR,BRSR-23,Complaints/Grievances on any of the principles (Principles 1 to 9) under the National,Section A: General Disclosures
IMP-M02-I06,Sustainability Management & Reporting,Materiality Assessment,BRSR,BRSR-24,Overview of the entity’s material responsible business conduct issues,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-3,Year of incorporation,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-3,Total differently,Section A: General Disclosures
IMP-M13-I06,Supply Chain & Procurement,Value Chain ESG Compliance,BRSR,BRSR-3,Do the enlisted policies extend to your,Section B: Management & Process Disclosures
IMP-M03-I09,Governance & Ethics,Regulatory Penalties & Legal Actions,BRSR,BRSR-3,"Of the instances disclosed in Question 2 above, details of the Appeal/ Revision",Section C: Principle-wise Performance > Principle 1
IMP-M08-I07,Waste & Materials,Product End-of-Life Management,BRSR,BRSR-3,"Describe the processes in place to safely reclaim your products for reusing, recycling and",Section C: Principle-wise Performance > Principle 2
IMP-M08-I07,Waste & Materials,Product End-of-Life Management,BRSR,BRSR-3,Percentage of recycled or reused input material to total material (by value) used in,Section C: Principle-wise Performance > Principle 2
IMP-M16-I04,"Diversity, Equity & Inclusion",Equal Opportunity Policy & Accessibility,BRSR,BRSR-3,Accessibility of workplaces,Section C: Principle-wise Performance > Principle 3
IMP-M16-I04,"Diversity, Equity & Inclusion",Equal Opportunity Policy & Accessibility,BRSR,BRSR-3,Provide the number of employees / workers having suffered high consequence work-,Section C: Principle-wise Performance > Principle 3
IMP-M01-I06,General & Organizational Profile,Stakeholder Identification & Engagement,BRSR,BRSR-3,"Provide details of instances of engagement with, and actions taken to, address the",Section C: Principle-wise Performance > Principle 4
IMP-M14-I03,Labor & Human Rights,Wages & Minimum Wage Compliance,BRSR,BRSR-3,"Details of remuneration/salary/wages, in the following format:",Section C: Principle-wise Performance > Principle 5
IMP-M14-I03,Labor & Human Rights,Wages & Minimum Wage Compliance,BRSR,BRSR-3,"Is the premise/office of the entity accessible to differently abled visitors, as per the",Section C: Principle-wise Performance > Principle 5
IMP-M07-I01,Water & Effluents,Water Withdrawal by Source,BRSR,BRSR-3,"Provide details of the following disclosures related to water, in the following format:",Section C: Principle-wise Performance > Principle 6
IMP-M07-I01,Water & Effluents,Water Withdrawal by Source,BRSR,BRSR-3,"Water withdrawal, consumption and discharge in areas of water stress (in kilolitres):",Section C: Principle-wise Performance > Principle 6
IMP-M18-I03,Community & Social Impact,Community Engagement & Grievance Mechanisms,BRSR,BRSR-3,Describe the mechanisms to receive and redress grievances of the community.,Section C: Principle-wise Performance > Principle 8
IMP-M18-I03,Community & Social Impact,Community Engagement & Grievance Mechanisms,BRSR,BRSR-3,(a) Do you have a preferential procurement policy where you give preference to,Section C: Principle-wise Performance > Principle 8
IMP-M19-I05,Customer & Product Responsibility,Consumer Complaints Management,BRSR,BRSR-3,Number of consumer complaints in respect of the following:,Section C: Principle-wise Performance > Principle 9
IMP-M19-I05,Customer & Product Responsibility,Consumer Complaints Management,BRSR,BRSR-3,Mechanisms in place to inform consumers of any risk of disruption/discontinuation of,Section C: Principle-wise Performance > Principle 9
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-4,Registered office address,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-4,Permanent (F),Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-4,Permanent (F),Section A: General Disclosures
IMP-M02-I03,Sustainability Management & Reporting,Certifications & Standards Adopted,BRSR,BRSR-4,Name of the national and international,Section B: Management & Process Disclosures
IMP-M03-I03,Governance & Ethics,Anti-Corruption & Anti-Bribery,BRSR,BRSR-4,"Does the entity have an anti-corruption or anti-bribery policy? If yes, provide details in",Section C: Principle-wise Performance > Principle 1
IMP-M08-I08,Waste & Materials,Extended Producer Responsibility (EPR),BRSR,BRSR-4,Whether Extended Producer Responsibility (EPR) is applicable to the entity’s activities,Section C: Principle-wise Performance > Principle 2
IMP-M08-I08,Waste & Materials,Extended Producer Responsibility (EPR),BRSR,BRSR-4,"Of the products and packaging reclaimed at end of life of products, amount (in metric",Section C: Principle-wise Performance > Principle 2
IMP-M16-I04,"Diversity, Equity & Inclusion",Equal Opportunity Policy & Accessibility,BRSR,BRSR-4,Does the entity have an equal opportunity policy as per the Rights of Persons with,Section C: Principle-wise Performance > Principle 3
IMP-M16-I04,"Diversity, Equity & Inclusion",Equal Opportunity Policy & Accessibility,BRSR,BRSR-4,Does the entity provide transition assistance programs to facilitate continued,Section C: Principle-wise Performance > Principle 3
IMP-M14-I10,Labor & Human Rights,Human Rights Due Diligence,BRSR,BRSR-4,Do you have a focal point (Individual/ Committee) responsible for addressing human,Section C: Principle-wise Performance > Principle 5
IMP-M14-I10,Labor & Human Rights,Human Rights Due Diligence,BRSR,BRSR-4,Details on assessment of value chain partners:,Section C: Principle-wise Performance > Principle 5
IMP-M07-I08,Water & Effluents,Zero Liquid Discharge,BRSR,BRSR-4,"Has the entity implemented a mechanism for Zero Liquid Discharge? If yes, provide details",Section C: Principle-wise Performance > Principle 6
IMP-M07-I08,Water & Effluents,Zero Liquid Discharge,BRSR,BRSR-4,"Please provide details of total Scope 3 emissions & its intensity, in the following format:",Section C: Principle-wise Performance > Principle 6
IMP-M13-I04,Supply Chain & Procurement,Local & MSME Procurement,BRSR,BRSR-4,Percentage of input material (inputs to total inputs by value) sourced from suppliers:,Section C: Principle-wise Performance > Principle 8
IMP-M13-I04,Supply Chain & Procurement,Local & MSME Procurement,BRSR,BRSR-4,Details of the benefits derived and shared from the intellectual properties owned or,Section C: Principle-wise Performance > Principle 8
IMP-M19-I04,Customer & Product Responsibility,Product Recalls,BRSR,BRSR-4,Details of instances of product recalls on account of safety issues:,Section C: Principle-wise Performance > Principle 9
IMP-M19-I04,Customer & Product Responsibility,Product Recalls,BRSR,BRSR-4,Does the entity display product information on the product over and above what is,Section C: Principle-wise Performance > Principle 9
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-5,Corporate address,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-5,Other than,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-5,Other than,Section A: General Disclosures
IMP-M02-I02,Sustainability Management & Reporting,"Goals, Targets & Performance Tracking",BRSR,BRSR-5,"Specific commitments, goals and targets",Section B: Management & Process Disclosures
IMP-M03-I03,Governance & Ethics,Anti-Corruption & Anti-Bribery,BRSR,BRSR-5,Number of Directors/KMPs/employees/workers against whom disciplinary action was,Section C: Principle-wise Performance > Principle 1
